"STOREID","GOLDCODE","ARTICLESTATUS","LV","SV","GoldCode_LV_SV","DESCRIPTION","COMMERCIALCONTRACT","SUPPLIERCODE","SUPPLIERNAME","DIVISION","DEPARTMENT","SUBDEPARTMENT","FAMILY","SUBFAMILY","PLANOGRAM","ATTRIB2","CURRENTSTOCK","FMCGDETENTION","OA","SA","BARCODE","OASTART","OAEND","MAINSUPPLIER","LEVERAGE","RETURNSTOCK","RETURNSTATUS","RETURNSTATUSDATE","FREQUENCY","DESFREQUENCY","DELIVERYPERIOD","COVERDAYS","ORDERMODE","FIXORDERQTY","MINQTY","PRESTOCK","PO","PO_QTY","PODATE","DELIVERYDATE","FREEFREIGHTTHRESHOLD","FREEFREIGHTUNIT","MINORDERFR","MAXORDERFR","UNIT","CATALOGUE","SKU_PU","COEF","ORDERMINPU","PRICELIST","STARTDATEPRICELIST","ENDDATEPRICELIST","COSTPRICE","LV","PURCHASEPRICE","NORMALPRICE","CLEARANCEPRICE","CATALOGUEPRICE","COMPLEMENTPRICE","SALESQTY","STOCKDAY","STOVAL"
"147-MOONLIGHT",="01350263","Active",1,1,="0135026311","BVS MOLPED SIEU BAO VE MAXI KC 23CM 8M","P3960806",="806","SOUTHERN WAREHOUSE","06-HBA AND COSMETIC","0610-PERSONAL CARE","061040-FEMININE AND HYGIEN","06104001-DAY","0610400102-02-NON WOVEN","","",49,"Yes","Yes","Yes",="8690536829781",05-JUL-23,31-DEC-49,"Yes",,,"","",1,Day,8,,15,,,2,="",,,,,,,,,"C327(27/12/2023-10/01/2024),C401(11/01/2024-24/01/2024)","41","48","",20500147,07-DEC-23,31-DEC-23,11365.2,1,,19900,,,14900,3,145,556894.8
"147-MOONLIGHT",="01178755","Active",1,1,="0117875511","LO2+1 BCDRSENSODYNE REPAIR&PROTECT EXT SOFT","P2540147",="3000862","CTY TNHH DKSH VIET NAM - GSK","06-HBA AND COSMETIC","0610-PERSONAL CARE","061030-ORAL CARE","06103002-TOOTHBRUSHES","0610300202-02-SOFT BRUSH","","",34,"Yes","Yes","Yes",="8851007108112",08-SEP-23,31-DEC-49,"Yes",,,"","",1,Day,6,,4,12,10,,="",,,,200000,121,,100000000,121,"C401(11/01/2024-24/01/2024)","41","12","",10900147,01-JUL-23,31-DEC-49,74545,1,74545,93100,,,,1,169,2534530
"147-MOONLIGHT",="00862119","Active",1,1,="0086211911","DAU DUA RUTH 100ML","",="","","06-HBA AND COSMETIC","0610-PERSONAL CARE","061010-HAIR CARE","06101002-COND. AND TREATMENT","0610100204-LEAVE-ON","","",121,"Yes","No","Yes",="8938507911302",,,"No",,,"","",,,,,4,10,5,,="",,,,,,,,,"","","","",20100147,02-DEC-23,31-DEC-23,60116.2,,,85400,64900,,,1,1049,7274060.4711289834
"147-MOONLIGHT",="00959363","Active",1,1,="0095936311","MAT NA BENEW TRA XANH 22ML","P1890147",="3002850","CONG TY TNHH TRAN DUY","06-HBA AND COSMETIC","0620-BEAUTY CARE","062010-FACIAL CARE","06201003-MASKS","0620100302-PAD","","",65,"Yes","Yes","Yes",="8809511190598",14-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,5,,4,2,1,,="",,,,2000000,121,,50000000,121,"","41","10","",10900147,03-AUG-23,31-DEC-49,10662.37,1,10664,13300,,,,3,162,693054.3333523875
"147-MOONLIGHT",="01410241","Active",1,1,="0141024111","BVS ELIS FAIRY WINGS 30.0CM 6M","P4010147",="3006115","CONG TY TNHH BAN LE SONG MA","06-HBA AND COSMETIC","0610-PERSONAL CARE","061040-FEMININE AND HYGIEN","06104001-DAY","0610400102-02-NON WOVEN","","",,"No","Yes","Yes",="8858947831056",02-DEC-23,31-DEC-49,"Yes",,,"","",1,Week,7,,1,,,,="",,,,200000,121,,,,"C401(11/01/2024-24/01/2024)","41","24","",20500147,20-DEC-23,09-JAN-24,,2,26364,28800,,,27700,,,
"147-MOONLIGHT",="01011078","Active",1,1,="0101107811","KHAU TRANG 3M DEN","P5080147",="3004819","CTY TNHH PHAN PHAN PHOI TIEN TIEN","06-HBA AND COSMETIC","0640-HEALTH CARE","064020-DAILY CARE","06402002-PROTECT MASK","0640200201-NORMAL","","",5,"Yes","Yes","Yes",="8806080072195",14-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,5,,4,12,10,,="",,,,200000,121,,,,"","41","20","",10900147,01-JUL-23,31-DEC-49,19922,1,19922,29000,,,,,40,99610
"147-MOONLIGHT",="00346884","Active",1,1,="0034688411","ST DE NYSHA SEAWEED 1.15L","",="","","06-HBA AND COSMETIC","0610-PERSONAL CARE","061020-BATH AND BODY","06102001-LIQUID SOAPS","0610200101-WHITENING","","",1,"Yes","No","Yes",="9555063800001",,,"No",,,"","",,,,,,,,,="",,,,,,,,,"","","","",10900147,11-JAN-23,31-DEC-49,77400,,,131700,,,,,19,77400
"147-MOONLIGHT",="00887693","Active",1,1,="0088769311","MN OLIV SAN DA OLIU & TAO BIEN","",="","","06-HBA AND COSMETIC","0620-BEAUTY CARE","062010-FACIAL CARE","06201003-MASKS","0620100302-PAD","","",8,"Yes","No","Yes",="8936065073517",,,"No",,,"","",,,,,,,,,="",,,,,,,,,"","","","",10900147,03-AUG-23,31-DEC-49,16609,,,20600,,,,,107,132872
"147-MOONLIGHT",="00033978","Active",0,0,="0003397800","N.HOA CINDY 50ML N3","P1590147",="1950004","CONG TY MY PHAM SAI GON","06-HBA AND COSMETIC","0610-PERSONAL CARE","061020-BATH AND BODY","06102007-PERFUME","0610200701-01-PERFUME FOR WOMEN","","",0,"No","Yes","Yes",="8934662102036",28-SEP-23,31-DEC-49,"Yes",,,"","",1,Week,5,,1,,,,="",,,,2000000,121,,200000000,121,"","1","1","",10900147,07-JUN-22,31-DEC-49,71181.9,0,82727,104500,,,,,,0
"147-MOONLIGHT",="00995948","Active",1,1,="0099594811","BO CO TRANG DIEM KAWAII BC07","P3880147",="3004230","CTY TNHH SX TM PHAT TRIEN HAN THINH","06-HBA AND COSMETIC","0620-BEAUTY CARE","062040-ACCESSORIES","06204001-BEAUTY ACCESS","0620400106-MAKE UP BRUSH","","",,"No","Yes","Yes",="8936176842606",04-JUN-22,31-DEC-49,"Yes",,,"","",1,Day,5,,1,,,,="",,,,2000000,121,,,,"C401(11/01/2024-24/01/2024)","41","12","",10900147,19-AUG-23,31-DEC-23,,1,,139000,,,,,,
