"STOREID","GOLDCODE","ARTICLESTATUS","LV","SV","GoldCode_LV_SV","DESCRIPTION","COMMERCIALCONTRACT","SUPPLIERCODE","SUPPLIERNAME","DIVISION","DEPARTMENT","SUBDEPARTMENT","FAMILY","SUBFAMILY","PLANOGRAM","ATTRIB2","CURRENTSTOCK","FMCGDETENTION","OA","SA","BARCODE","OASTART","OAEND","MAINSUPPLIER","LEVERAGE","RETURNSTOCK","RETURNSTATUS","RETURNSTATUSDATE","FREQUENCY","DESFREQUENCY","DELIVERYPERIOD","COVERDAYS","ORDERMODE","FIXORDERQTY","MINQTY","PRESTOCK","PO","PO_QTY","PODATE","DELIVERYDATE","FREEFREIGHTTHRESHOLD","FREEFREIGHTUNIT","MINORDERFR","MAXORDERFR","UNIT","CATALOGUE","SKU_PU","COEF","ORDERMINPU","PRICELIST","STARTDATEPRICELIST","ENDDATEPRICELIST","COSTPRICE","LV","PURCHASEPRICE","NORMALPRICE","CLEARANCEPRICE","CATALOGUEPRICE","COMPLEMENTPRICE","SALESQTY","STOCKDAY","STOVAL"
"147-MOONLIGHT",="00198983","Active",2,2,="0019898322","VI 3 BUT LONG KIM FL04/DOREMON TIM","E0240147",="2050010","CTY TNHH TMDV THIEN LONG HOAN CAU","02-HOME LINE","0250-CULTURE","025020-STATIONERY","02502001-WRITING MATERIAL","0250200101-PEN","","",16,"Yes","Yes","Yes",="8935001807834",19-JUL-23,31-DEC-49,"Yes",,,"","",1,Day,5,,1,,,,="",,,,5000000,121,,100000000,121,"","1","1","",10900147,08-AUG-23,31-DEC-49,16480.04,2,16500,25900,,,,3,37,263680.6451612896
"147-MOONLIGHT",="01363050","Active",1,1,="0136305011","VIET 10 NGOI THU","E0090147",="1000863","CTY TNHH THAI BINH THINH VUONG","02-HOME LINE","0250-CULTURE","025020-STATIONERY","02502001-WRITING MATERIAL","0250200101-PEN","","",,"No","Yes","Yes",="8935252741192",20-JUL-23,31-DEC-49,"Yes",,,"","",1,Day,9,,1,,,,="",,,,2000000,121,,,,"","1","1","",10900147,21-JUL-23,31-DEC-49,,1,13300,23900,,,,,,
"147-MOONLIGHT",="01281672","Active",1,1,="0128167211","CP-TO SU LA XANH COBAN 16CM","10050147",="3001106","CTY TNHH QUOC TE VINH PHAT","02-HOME LINE","0210-HOUSEWARE","021020-TABLEWARES","02102001-DISHWARE","0210200113-PORCELAIN BOWL","","",,"No","Yes","Yes",="8935346500278",27-MAY-23,31-DEC-49,"Yes",,,"","",1,Day,5,,1,,,,="",,,,5000000,121,,100000000,121,"","41","10","",10900147,26-JUL-23,31-DEC-49,,1,54545,99900,,,,,,
"147-MOONLIGHT",="00251522","Active",7,7,="0025152277","LO 5 BUT BI TL 08 DEN","E0240147",="2050010","CTY TNHH TMDV THIEN LONG HOAN CAU","02-HOME LINE","0250-CULTURE","025020-STATIONERY","02502001-WRITING MATERIAL","0250200101-PEN","","",,"No","Yes","Yes",="8935001805960",08-AUG-23,31-DEC-49,"Yes",,,"","",1,Day,5,,1,,,,="",,,,5000000,121,,100000000,121,"","1","1","",10900147,08-AUG-23,31-DEC-49,,7,15700,22900,,,,,,
"147-MOONLIGHT",="01406851","Active",1,1,="0140685111","XMAS-LY SU 360ML","A1200147",="1450257","CTY TNHH NNB","02-HOME LINE","0210-HOUSEWARE","021020-TABLEWARES","02102002-DRINKING WARE","0210200218-PORCELAIN MUG","","",0,"No","Yes","Yes",="6946795701965",25-OCT-23,25-DEC-23,"Yes",,,"","",1,Day,5,,1,,,,="",,,,5000000,121,,50000000,121,"","41","10","",20500147,16-DEC-23,31-DEC-23,37800,1,37800,79000,,,39000,,0,0
"147-MOONLIGHT",="00920377","Active",1,1,="0092037711","CHAO INOX CD VUNG KINH 20CM KG01F120","A8430147",="3005029","CTCP LIEN DOANH KANGAROO QUOC TE","02-HOME LINE","0210-HOUSEWARE","021010-KITCHEN","02101001-COOKWARE","0210100105-FRYING PAN","","",,"No","Yes","Yes",="8935326001511",30-NOV-23,31-DEC-49,"Yes",,,"","",1,Day,5,,1,,,,="",,,,5000000,121,,,,"","41","6","",10900147,26-JUL-23,31-DEC-49,,1,390909,609000,,,,,,
"147-MOONLIGHT",="01407973","Active",1,1,="0140797311","DUA GO BEECH CAO CAP TOUKCHEF","A1970147",="3006125","CTY CP DAU TU & THUONG MAI DTT","02-HOME LINE","0210-HOUSEWARE","021020-TABLEWARES","02102003-CUTLERY - TABLEWARE ACC","0210200302-WOODEN CHOPSTICK","","",,"No","Yes","Yes",="8936222770013",01-NOV-23,31-DEC-49,"Yes",,,"","",1,Day,10,,1,,,,="",,,,3000000,121,,,,"","41","20","",10900147,01-NOV-23,31-DEC-49,,1,42611,69000,,,,,,
"147-MOONLIGHT",="00968164","Active",1,1,="0096816411","SHG788-24 NOI INOX 5D 24CM SUNHOUSE","A0130147",="1429085","CTY CO PHAN TAP DOAN SUNHOUSE","02-HOME LINE","0210-HOUSEWARE","021010-KITCHEN","02101001-COOKWARE","0210100101-STAINLESS POT","","",10,"Yes","Yes","Yes",="8935259811911",18-JUN-22,31-DEC-49,"Yes",,,"","",1,Day,5,,1,,,,="",,,,5000000,121,,,,"","1","1","",20300147,12-DEC-23,26-DEC-23,236800,1,290000,350000,,339000,,,312,2368000
"147-MOONLIGHT",="01218418","Active",1,1,="0121841811","MOC AO MONG TRE EM HARA 185","A8340147",="3004605","CTY CP NHUA TAN PHU","02-HOME LINE","0210-HOUSEWARE","021040-LAUNDRY","02104004-DRYING - TIDY","0210400402-PLASTIC CLOTH HANGER","","",28,"Yes","Yes","Yes",="8935275201109",23-AUG-23,31-DEC-49,"Yes",,,"","",1,Week,6,,1,,,,="",,,,5000000,121,,,,"","1","1","",10900147,23-AUG-23,31-DEC-49,26505,1,31182,54900,,,,,301,742140
"147-MOONLIGHT",="00387989","Active",1,1,="0038798911","BUT DA QUANG HL-07 X BIEN","E0240147",="2050010","CTY TNHH TMDV THIEN LONG HOAN CAU","02-HOME LINE","0250-CULTURE","025020-STATIONERY","02502006-OFFICE SUPPLY","0250200611-OFFICE ACCESSORIES","","",,"No","Yes","Yes",="8935001813392",08-AUG-23,31-DEC-49,"Yes",,,"","",1,Day,5,,1,,,,="",,,,5000000,121,,100000000,121,"","1","1","",10900147,08-AUG-23,31-DEC-49,,1,7850,12900,,,,,,
