"STOREID","GOLDCODE","ARTICLESTATUS","LV","SV","GoldCode_LV_SV","DESCRIPTION","COMMERCIALCONTRACT","SUPPLIERCODE","SUPPLIERNAME","DIVISION","DEPARTMENT","SUBDEPARTMENT","FAMILY","SUBFAMILY","PLANOGRAM","ATTRIB2","CURRENTSTOCK","FMCGDETENTION","OA","SA","BARCODE","OASTART","OAEND","MAINSUPPLIER","LEVERAGE","RETURNSTOCK","RETURNSTATUS","RETURNSTATUSDATE","FREQUENCY","DESFREQUENCY","DELIVERYPERIOD","COVERDAYS","ORDERMODE","FIXORDERQTY","MINQTY","PRESTOCK","PO","PO_QTY","PODATE","DELIVERYDATE","FREEFREIGHTTHRESHOLD","FREEFREIGHTUNIT","MINORDERFR","MAXORDERFR","UNIT","CATALOGUE","SKU_PU","COEF","ORDERMINPU","PRICELIST","STARTDATEPRICELIST","ENDDATEPRICELIST","COSTPRICE","LV","PURCHASEPRICE","NORMALPRICE","CLEARANCEPRICE","CATALOGUEPRICE","COMPLEMENTPRICE","SALESQTY","STOCKDAY","STOVAL"
"147-MOONLIGHT",="00768794","Active",1,1,="0076879411","LY MAGMAG ONG HUT PIGEON","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140306-MILK BOTTLE/ NIPPLE","","SEASONAL;",10,"Yes","Yes","Yes",="4902508038034",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,135517.14,1,136595,189000,,,,1,386,1355171.36363636
"147-MOONLIGHT",="00635522","Active",1,1,="0063552211","BINH SUA PP STREAMLINE 250ML","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140306-MILK BOTTLE/ NIPPLE","","SEASONAL;",2,"Yes","Yes","Yes",="4902508266529",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,112023,1,114191,158000,,,,,137,224046
"147-MOONLIGHT",="01008536","Active",1,1,="0100853611","MV_BINH SUA PP PLUS 240ML HOA TIET - HONG","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140306-MILK BOTTLE/ NIPPLE","","",10,"Yes","Yes","Yes",="4902508781831",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,166696,1,171286,237000,,,,,3370,1666960
"147-MOONLIGHT",="00955860","Active",2,2,="0095586022","BINH SUA PP STREAMLINE 150ML HONG","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140306-MILK BOTTLE/ NIPPLE","","",7,"Yes","Yes","Yes",="4902508782838",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,107686,2,112745,156000,,,,,2177,753802
"147-MOONLIGHT",="00955862","Active",1,1,="0095586211","BINH SUA PPSU PLUS 160ML (MOI) 447","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140306-MILK BOTTLE/ NIPPLE","","",10,"Yes","Yes","Yes",="4902508008754",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,255691.5,1,261627,362000,,,,,0,2556915
"147-MOONLIGHT",="01176810","Active",3,3,="0117681033","MV_TI NGAM DON ASIAN SIZE L","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140306-MILK BOTTLE/ NIPPLE","","",10,"Yes","Yes","Yes",="4902508782432",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,72227.89,3,75164,104000,,,,,575,722278.888888889
"147-MOONLIGHT",="00991747","Active",1,1,="0099174711","BINH SUA PP PLUS 240ML HOA TIET - XANH","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140306-MILK BOTTLE/ NIPPLE","","",10,"Yes","Yes","Yes",="4902508781824",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,166696,1,171286,237000,,,,,3190,1666960
"147-MOONLIGHT",="01176810","Active",2,2,="0117681022","MV_TI NGAM DON ASIAN SIZE M","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140306-MILK BOTTLE/ NIPPLE","","",12,"Yes","Yes","Yes",="4902508782401",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,72437.82,2,75164,104000,,,,,1029,869253.8823529416
"147-MOONLIGHT",="01406395","Active",1,1,="0140639511","HT- AO KHOAC NU DANG DAI -DEN S-XL","G1010147",="0850323","CONG TY TNHH TMDV SX HIEN TRUC","03-SOFT LINE","0310-LADIES'","031012-LADIES WEAR","03101201-LADIES T-SHIRTS","0310120102-LS","","",,"No","Yes","Yes",="8935244180862",01-DEC-23,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,,,"","1","1","",20500147,14-NOV-23,19-FEB-24,,1,72000,149000,,,99000,,,
"147-MOONLIGHT",="01406396","Active",1,1,="0140639611","HT- AO KHOAC NU DANG DAI - HONG S-XL","G1010147",="0850323","CONG TY TNHH TMDV SX HIEN TRUC","03-SOFT LINE","0310-LADIES'","031012-LADIES WEAR","03101201-LADIES T-SHIRTS","0310120102-LS","","",,"No","Yes","Yes",="8935244180886",01-DEC-23,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,,,"","1","1","",20500147,14-NOV-23,19-FEB-24,,1,72000,149000,,,99000,,,
